patch,date,quadrat,blade_num,blade_height,date_initial,time_initial,distance,shoots_cut,date_final,shoots_found,treatment,original_cuke_density,final_cuke_density,true_seagrass_area,total_reef_area,log_original_cuke_density,log_final_cuke_density,lat,lon,total_cuke_excretion_final,patch_size,mean_sand_depth,sd_sand_depth,total_grunt_nh4_rate_ug,total_grunt_nh4_rate,grunt_pee_m2,cuke_pee_final_m2,log_grunt_pee_m2,log_cuke_pee_m2,scale_log_cuke_density_final,scale_log_og_cukes,scale_log_grunt_pee_m2,scale_log_cuke_pee_m2,scale_distance,scale_sand,scale_seagrass_area,scale_reef_area,cont_treatment,scale_cont_treatment,scale_patch_size
E2,2019-07-30,1,1,5.5,2019-07-21,10:00:00,0.1,15,2019-07-30,12,zero,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,0,219.33540594851823,17.25,7.5,274368.8611853845,19583.787379399324,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-1.1996199289310083,-2.118836143211277,0.6042460714367676,-1.2128013044269805,-1.0642806343456899,0.06484639897236504,3.242056566237259,0.40806562675334795,-1,-1.224762400640177,2.0169099293438575
E2,2019-07-30,1,2,6.1,2019-07-21,10:00:00,0.1,15,2019-07-30,12,zero,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,0,219.33540594851823,17.25,7.5,274368.8611853845,19583.787379399324,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-1.1996199289310083,-2.118836143211277,0.6042460714367676,-1.2128013044269805,-1.0642806343456899,0.06484639897236504,3.242056566237259,0.40806562675334795,-1,-1.224762400640177,2.0169099293438575
E2,2019-07-30,1,3,4.9,2019-07-21,10:00:00,0.1,15,2019-07-30,12,zero,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,0,219.33540594851823,17.25,7.5,274368.8611853845,19583.787379399324,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-1.1996199289310083,-2.118836143211277,0.6042460714367676,-1.2128013044269805,-1.0642806343456899,0.06484639897236504,3.242056566237259,0.40806562675334795,-1,-1.224762400640177,2.0169099293438575
E2,2019-07-30,1,4,7.3,2019-07-21,10:00:00,0.1,15,2019-07-30,12,zero,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,0,219.33540594851823,17.25,7.5,274368.8611853845,19583.787379399324,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-1.1996199289310083,-2.118836143211277,0.6042460714367676,-1.2128013044269805,-1.0642806343456899,0.06484639897236504,3.242056566237259,0.40806562675334795,-1,-1.224762400640177,2.0169099293438575
E2,2019-07-30,1,5,8.5,2019-07-21,10:00:00,0.1,15,2019-07-30,12,zero,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,0,219.33540594851823,17.25,7.5,274368.8611853845,19583.787379399324,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-1.1996199289310083,-2.118836143211277,0.6042460714367676,-1.2128013044269805,-1.0642806343456899,0.06484639897236504,3.242056566237259,0.40806562675334795,-1,-1.224762400640177,2.0169099293438575
E2,2019-07-30,1,6,6.1,2019-07-21,10:00:00,0.1,15,2019-07-30,12,zero,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,0,219.33540594851823,17.25,7.5,274368.8611853845,19583.787379399324,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-1.1996199289310083,-2.118836143211277,0.6042460714367676,-1.2128013044269805,-1.0642806343456899,0.06484639897236504,3.242056566237259,0.40806562675334795,-1,-1.224762400640177,2.0169099293438575
E2,2019-07-30,1,7,4.3,2019-07-21,10:00:00,0.1,15,2019-07-30,12,zero,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,0,219.33540594851823,17.25,7.5,274368.8611853845,19583.787379399324,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-1.1996199289310083,-2.118836143211277,0.6042460714367676,-1.2128013044269805,-1.0642806343456899,0.06484639897236504,3.242056566237259,0.40806562675334795,-1,-1.224762400640177,2.0169099293438575
E2,2019-07-30,1,8,8.9,2019-07-21,10:00:00,0.1,15,2019-07-30,12,zero,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,0,219.33540594851823,17.25,7.5,274368.8611853845,19583.787379399324,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-1.1996199289310083,-2.118836143211277,0.6042460714367676,-1.2128013044269805,-1.0642806343456899,0.06484639897236504,3.242056566237259,0.40806562675334795,-1,-1.224762400640177,2.0169099293438575
E2,2019-07-30,2,1,2.3,2019-07-21,10:00:00,2,17,2019-07-30,13,zero,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,0,219.33540594851823,16.375,1.9311050377094112,274368.8611853845,19583.787379399324,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-1.1996199289310083,-2.118836143211277,0.6042460714367676,-1.2128013044269805,0.6440894288263449,-0.06095474050403017,3.242056566237259,0.40806562675334795,-1,-1.224762400640177,2.0169099293438575
E2,2019-07-30,2,2,2.2,2019-07-21,10:00:00,2,17,2019-07-30,13,zero,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,0,219.33540594851823,16.375,1.9311050377094112,274368.8611853845,19583.787379399324,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-1.1996199289310083,-2.118836143211277,0.6042460714367676,-1.2128013044269805,0.6440894288263449,-0.06095474050403017,3.242056566237259,0.40806562675334795,-1,-1.224762400640177,2.0169099293438575
E2,2019-07-30,2,3,1.6,2019-07-21,10:00:00,2,17,2019-07-30,13,zero,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,0,219.33540594851823,16.375,1.9311050377094112,274368.8611853845,19583.787379399324,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-1.1996199289310083,-2.118836143211277,0.6042460714367676,-1.2128013044269805,0.6440894288263449,-0.06095474050403017,3.242056566237259,0.40806562675334795,-1,-1.224762400640177,2.0169099293438575
E2,2019-07-30,2,4,3.4,2019-07-21,10:00:00,2,17,2019-07-30,13,zero,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,0,219.33540594851823,16.375,1.9311050377094112,274368.8611853845,19583.787379399324,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-1.1996199289310083,-2.118836143211277,0.6042460714367676,-1.2128013044269805,0.6440894288263449,-0.06095474050403017,3.242056566237259,0.40806562675334795,-1,-1.224762400640177,2.0169099293438575
E2,2019-07-30,2,5,2.4,2019-07-21,10:00:00,2,17,2019-07-30,13,zero,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,0,219.33540594851823,16.375,1.9311050377094112,274368.8611853845,19583.787379399324,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-1.1996199289310083,-2.118836143211277,0.6042460714367676,-1.2128013044269805,0.6440894288263449,-0.06095474050403017,3.242056566237259,0.40806562675334795,-1,-1.224762400640177,2.0169099293438575
E2,2019-07-30,2,6,1.8,2019-07-21,10:00:00,2,17,2019-07-30,13,zero,0.02347472163933231,0,170.39605672247586,48.93934922604237,-3.7518311117075367,-4.891386666278263,24.81435,-76.266,0,219.33540594851823,16.375,1.9311050377094112,274368.8611853845,19583.787379399324,114.93098934381707,0,4.746481319432217,-2.4064789070070094,-1.1996199289310083,-2.118836143211277,0.6042460714367676,-1.2128013044269805,0.6440894288263449,-0.06095474050403017,3.242056566237259,0.40806562675334795,-1,-1.224762400640177,2.0169099293438575
